group	block1group	word	cluster	sonDiff	corr_file	comparison_file	repair	whoIsCorrect	sylls
4	1	sleeping	sl	2	tee-sleeping2.wav	boo-leeping1.wav	init_del	tee	2
1	4	smile	sm	1	tee-smile2.wav	boo-mile1.wav	init_del	tee	2
5	8	smile	sm	1	tee-smile2.wav	boo-mile1.wav	init_del	tee	2
7	4	spaceship	sp	-1	tee-spaceship2.wav	boo-paceship1.wav	init_del	tee	2
3	8	spaceship	sp	-1	tee-spaceship2.wav	boo-paceship1.wav	init_del	tee	2
8	3	planet	pl	3	tee-planet1.wav	boo-panet2.wav	med_del	tee	2
4	7	planet	pl	3	tee-planet1.wav	boo-panet2.wav	med_del	tee	2
3	4	piano	mj	2	tee-pjano2.wav	boo-pano2.wav	med_del	tee	2
7	8	piano	mj	2	tee-pjano2.wav	boo-pano2.wav	med_del	tee	2
8	7	plate	pl	3	tee-plate2.wav	boo-pate2.wav	med_del	tee	1
4	3	plate	pl	3	tee-plate2.wav	boo-pate2.wav	med_del	tee	1
5	2	piano	mj	2	tee-pjano2.wav	boo-pEjano2.wav	med_epen	tee	2
1	6	piano	mj	2	tee-pjano2.wav	boo-pEjano2.wav	med_epen	tee	2
6	1	planet	pl	3	tee-planet1.wav	boo-pElanet1.wav	med_epen	tee	2
2	5	planet	pl	3	tee-planet1.wav	boo-pElanet1.wav	med_epen	tee	2
8	5	plate	pl	3	tee-plate2.wav	boo-pElate2.wav	med_epen	tee	1
4	1	plate	pl	3	tee-plate2.wav	boo-pElate2.wav	med_epen	tee	1
1	4	snake	sn	1	tee-snake2.wav	boo-sake2.wav	med_del	tee	1
5	8	snake	sn	1	tee-snake2.wav	boo-sake2.wav	med_del	tee	1
2	8	skateboard	sk	-1	tee-skateboard1.wav	boo-sateboard1.wav	med_del	tee	2
6	4	skateboard	sk	-1	tee-skateboard1.wav	boo-sateboard1.wav	med_del	tee	2
4	6	skateboard	sk	-1	tee-skateboard1.wav	boo-sEkateboard2.wav	med_epen	tee	2
8	2	skateboard	sk	-1	tee-skateboard1.wav	boo-sEkateboard2.wav	med_epen	tee	2
8	2	skis	sk	-1	tee-skis1.wav	boo-sEkis1.wav	med_epen	tee	1
